category,name,price,old_price,discount,product_url,image_url,description;
"عطور,بكج عطور is,د.ع10.000,not available,not available,https://ayatstore0.com/product/%d8%a8%d9%83%d8%ac-%d8%b9%d8%b7%d9%88%d8%b1-is/,""data:image/svg+xml";"base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNDAwIiB2aWV3Qm94PSIwIDAgMzAwIDQwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4="",not available"
"عطور,بكج عطور كول كيرل,د.ع10.000,not available,not available,https://ayatstore0.com/product/%d8%a8%d9%83%d8%ac-%d8%b9%d8%b7%d9%88%d8%b1-%d9%83%d9%88%d9%84-%d9%83%d9%8a%d8%b1%d9%84/,""data:image/svg+xml";"base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNDAwIiB2aWV3Qm94PSIwIDAgMzAwIDQwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4="",not available"
"عطور,بكج عطور سكاندل,د.ع10.000,not available,not available,https://ayatstore0.com/product/%d8%a8%d9%83%d8%ac-%d8%b9%d8%b7%d9%88%d8%b1-%d8%b3%d9%83%d8%a7%d9%86%d8%af%d9%84/,""data:image/svg+xml";"base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNDAwIiB2aWV3Qm94PSIwIDAgMzAwIDQwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4="",not available"
"عطور,بكج هدية رجالي سوفاج,د.ع20.000,not available,not available,https://ayatstore0.com/product/%d8%a8%d9%83%d8%ac-%d9%87%d8%af%d9%8a%d8%a9-%d8%b1%d8%ac%d8%a7%d9%84%d9%8a-%d8%b3%d9%88%d9%81%d8%a7%d8%ac/,""data:image/svg+xml";"base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNDAwIiB2aWV3Qm94PSIwIDAgMzAwIDQwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4="",not available"
"عطور,مجموعة العناية المعطرة,د.ع8.000,not available,not available,https://ayatstore0.com/product/%d9%85%d8%ac%d9%85%d9%88%d8%b9%d8%a9-%d8%a7%d9%84%d8%b9%d9%86%d8%a7%d9%8a%d8%a9-%d8%a7%d9%84%d9%85%d8%b9%d8%b7%d8%b1%d8%a9/,""data:image/svg+xml";"base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNDAwIiB2aWV3Qm94PSIwIDAgMzAwIDQwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4="",not available"
"عطور,بكج سبلاش رباعي,د.ع10.000,not available,not available,https://ayatstore0.com/product/%d8%a8%d9%83%d8%ac-%d8%b3%d8%a8%d9%84%d8%a7%d8%b4-%d8%b1%d8%a8%d8%a7%d8%b9%d9%8a/,""data:image/svg+xml";"base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNDAwIiB2aWV3Qm94PSIwIDAgMzAwIDQwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4="",not available"
"عطور,عطور القطه,د.ع3.000,not available,not available,https://ayatstore0.com/product/%d8%b9%d8%b7%d9%88%d8%b1-%d8%a7%d9%84%d9%82%d8%b7%d9%87/,""data:image/svg+xml";"base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNDAwIiB2aWV3Qm94PSIwIDAgMzAwIDQwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4="",not available"
"عطور,عطر كوري,د.ع4.000,not available,not available,https://ayatstore0.com/product/%d8%b9%d8%b7%d8%b1-%d9%83%d9%88%d8%b1%d9%8a-5/,""data:image/svg+xml";"base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNDAwIiB2aWV3Qm94PSIwIDAgMzAwIDQwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4="",not available"
"عطور,عطر كوري,د.ع4.000,not available,not available,https://ayatstore0.com/product/%d8%b9%d8%b7%d8%b1-%d9%83%d9%88%d8%b1%d9%8a-4/,""data:image/svg+xml";"base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNDAwIiB2aWV3Qm94PSIwIDAgMzAwIDQwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4="",not available"
"عطور,عطر كوري,د.ع4.000,not available,not available,https://ayatstore0.com/product/%d8%b9%d8%b7%d8%b1-%d9%83%d9%88%d8%b1%d9%8a-3/,""data:image/svg+xml";"base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNDAwIiB2aWV3Qm94PSIwIDAgMzAwIDQwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4="",not available"
